date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:32	36473/36473	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:31%20GMT	https://gumascargo.com/	C:/My%20Web%20Sites/fijass/gumascargo.com/index.html	(from )
12:01:32	123/123	---M--	200	added ('OK')	text/plain	date:Thu,%2021%20Mar%202024%2020:46:56%20GMT	https://gumascargo.com/robots.txt		(from )
12:01:32	15406/15406	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2009%20Mar%202023%2022:54:30%20GMT	https://gumascargo.com/assets/img/favicon.ico	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/favicon.ico	(from https://gumascargo.com/)
12:01:33	350204/350204	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Jul%202022%2018:53:02%20GMT	https://gumascargo.com/assets/css/vendor.css	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/css/vendor.css	(from https://gumascargo.com/)
12:01:33	125301/125301	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2022:38:40%20GMT	https://gumascargo.com/assets/css/style.css	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/css/style.css	(from https://gumascargo.com/)
12:01:33	16255/16255	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2022:37:26%20GMT	https://gumascargo.com/assets/css/responsive.css	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/css/responsive.css	(from https://gumascargo.com/)
12:01:33	36473/36473	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:33%20GMT	https://gumascargo.com/index.php	C:/My%20Web%20Sites/fijass/gumascargo.com/index-2.html	(from https://gumascargo.com/)
12:01:34	84942/84942	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Mar%202023%2020:18:30%20GMT	https://gumascargo.com/assets/img/2.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/2.png	(from https://gumascargo.com/)
12:01:34	17478/17478	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:34%20GMT	https://gumascargo.com/cost-estimator.php	C:/My%20Web%20Sites/fijass/gumascargo.com/cost-estimator.html	(from https://gumascargo.com/)
12:01:34	29535/29535	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:34%20GMT	https://gumascargo.com/about.php	C:/My%20Web%20Sites/fijass/gumascargo.com/about.html	(from https://gumascargo.com/)
12:01:34	21246/21246	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:34%20GMT	https://gumascargo.com/service.php	C:/My%20Web%20Sites/fijass/gumascargo.com/service.html	(from https://gumascargo.com/)
12:01:34	19464/19464	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:34%20GMT	https://gumascargo.com/faq.php	C:/My%20Web%20Sites/fijass/gumascargo.com/faq.html	(from https://gumascargo.com/)
12:01:35	23165/23165	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:34%20GMT	https://gumascargo.com/branches.php	C:/My%20Web%20Sites/fijass/gumascargo.com/branches.html	(from https://gumascargo.com/)
